bad,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,term_1,term_2,verification_status_1,verification_status_2,verification_status_3,initial_list_status_1,initial_list_status_2,loan_amnt,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,total_acc,pub_rec_bankruptcies,emp_length,pop,urate
0,1,0,0,0,0,1,0,1,0,0,1,0,13000,465.23999,90000,11.91,0,3,14,0,38,0,10,1437265,8.6000004
0,0,1,0,0,0,1,0,0,0,1,1,0,10000,342.22,57000,11.14,0,1,9,0,13,0,3,36294256,12.4
0,1,0,0,0,0,1,0,0,1,0,1,0,4200,144.27,73000,12.99,1,4,8,0,35,0,1,38014872,8
0,1,0,0,0,0,1,0,0,0,1,0,1,13650,441.48001,52000,30.620001,0,0,14,0,37,0,1,4747511,8.3322582
0,1,0,0,0,0,1,0,1,0,0,1,0,5225,179.42,96600,6.8299999,0,0,6,0,7,0,0,102868224,8
0,1,0,0,0,0,1,0,0,1,0,1,0,4800,150.2,48000,13,0,1,7,0,13,0,6,74034480,9.6000004
1,1,0,0,0,0,1,0,1,0,0,1,0,8125,290.78,40000,13.59,0,1,8,0,13,0,2,252598800,9.2851067
0,0,0,0,0,1,1,0,0,1,0,1,0,13500,439.73999,40000,26.190001,0,2,8,0,26,0,6,24491948,6.0925927
1,1,0,0,0,0,1,0,0,0,1,1,0,32000,1095.09,78540,11.57,0,0,6,0,11,0,1,28726860,6.9000001
0,1,0,0,0,0,1,0,0,0,1,1,0,7000,245.41,30000,21.120001,0,0,10,0,11,0,1,23431414,7.3650794
0,0,1,0,0,0,1,0,1,0,0,1,0,10000,319.47,60000,1.78,0,2,9,0,30,0,6,26644444,8.9627905
0,1,0,0,0,0,1,0,0,1,0,1,0,20000,679.37,98000,7.8000002,0,1,16,0,35,0,10,34167956,7.8245902
0,0,0,0,0,1,1,0,1,0,0,0,1,5600,196.33,37000,1.33,0,0,3,1,7,1,6,872681,5
1,1,0,0,0,0,1,0,0,0,1,1,0,12300,403.51001,35402,25.59,0,0,12,0,26,0,10,59920644,10.55
0,1,0,0,0,0,1,0,1,0,0,1,0,14000,490.82001,63000,5.77,0,3,8,0,12,0,5,1031850880,11.05
0,1,0,0,0,0,1,0,1,0,0,1,0,8000,266.60001,61000,23.08,0,5,7,0,13,0,1,5601048,11.731818
0,1,0,0,0,0,1,0,0,1,0,1,0,10450,325.10999,55500,14.7,0,0,11,0,26,0,2,53145512,8.8999996
0,1,0,0,0,0,1,0,1,0,0,1,0,3250,108.77,28000,22.540001,0,2,12,0,27,0,0,15073816,11.301887
0,1,0,0,0,0,1,0,1,0,0,1,0,6250,212.77,24000,18.450001,0,0,11,0,14,0,3,203991376,9.2431822
